100 200
1 2 1
2 3 14
1 4 3
3 5 13
2 6 15
4 7 5
6 8 11
4 9 15
4 10 11
5 11 8
3 12 4
10 13 6
3 14 7
7 15 7
1 16 13
16 17 7
3 18 11
6 19 9
10 20 1
9 21 7
19 22 11
19 23 9
5 24 9
23 25 14
20 26 4
9 27 15
14 28 14
14 29 10
1 30 1
19 31 2
2 32 4
8 33 8
7 34 7
20 35 8
27 36 8
10 37 9
3 38 6
3 39 1
23 40 1
13 41 12
30 42 7
29 43 4
18 44 4
35 45 8
19 46 15
27 47 6
26 48 1
25 49 15
11 50 8
45 51 12
4 52 4
28 53 11
15 54 6
48 55 13
9 56 1
2 57 13
52 58 2
35 59 12
47 60 10
42 61 2
59 62 4
26 63 10
37 64 8
2 65 13
50 66 14
13 67 15
16 68 10
68 69 1
32 70 5
28 71 13
9 72 6
49 73 6
40 74 9
56 75 5
56 76 14
4 77 12
53 78 8
45 79 13
11 80 4
65 81 10
43 82 12
12 83 12
6 84 11
60 85 7
2 86 6
22 87 9
24 88 2
75 89 4
45 90 13
29 91 12
91 92 3
47 93 2
77 94 8
3 95 12
80 96 2
66 97 8
81 98 15
71 99 11
21 100 4
4 24 14
2 79 14
71 76 11
10 68 7
1 7 7
17 85 14
5 48 3
64 88 15
13 37 9
2 4 4
38 60 15
38 57 11
5 9 14
64 78 10
57 76 12
10 85 11
70 79 1
54 84 1
21 95 6
56 68 10
1 12 4
43 96 13
62 77 14
34 76 11
60 86 3
41 59 13
1 8 12
73 94 11
59 77 13
73 76 13
78 83 1
55 100 5
27 59 4
18 28 10
86 87 11
2 18 3
2 96 10
59 88 4
21 88 10
65 92 15
25 92 14
34 55 9
5 99 13
30 37 4
15 53 15
29 37 14
77 91 11
83 87 13
66 88 12
36 66 10
37 81 2
14 22 8
67 81 5
70 77 4
33 41 6
13 48 15
23 65 6
78 97 1
27 31 12
20 58 15
63 66 15
10 97 8
13 22 3
76 93 10
78 93 15
49 90 6
48 72 1
86 92 13
44 71 7
41 77 10
34 59 14
5 15 2
69 97 3
25 100 8
10 43 12
14 75 1
14 33 10
8 28 1
68 97 5
57 83 10
38 51 12
9 65 7
96 100 4
4 34 12
67 72 12
46 100 5
77 98 15
8 42 1
29 98 6
15 48 11
76 79 14
61 81 9
20 87 5
39 91 11
16 99 3
1 24 2
28 87 8
25 26 4
29 49 3
31 96 8
60 98 4
